journal,impact_factor,quartile,jcr_quartile,cas_quartile,jif_rank,category,cas_top,open_access,source
ACCOUNTING REVIEW,4.4,JCR Q1 / CAS 2区,Q1,CAS 2区,34/241,"BUSINESS, FINANCE(SSCI)",否,否,2025 CAS/JCR user table
ACCOUNTS OF CHEMICAL RESEARCH,17.7,JCR Q1 / CAS 1区,Q1,CAS 1区,14/239,"CHEMISTRY, MULTIDISCIPLINARY(SCIE)",是,否,2025 CAS/JCR user table
Accounts of Materials Research,14.7,JCR Q1 / CAS 1区,Q1,CAS 1区,31/460,"CHEMISTRY, MULTIDISCIPLINARY(ESCI);MATERIALS SCIENCE, MULTIDISCIPLINARY(ESCI)",是,否,2025 CAS/JCR user table
ACCREDITATION AND QUALITY ASSURANCE,1.0,JCR Q4 / CAS 4区,Q4,CAS 4区,67/79,"CHEMISTRY, ANALYTICAL(SCIE);INSTRUMENTS & INSTRUMENTATION(SCIE)",否,否,2025 CAS/JCR user table
ACE-Architecture City and Environment,0.8,JCR Q3 / CAS 4区,Q3,CAS 4区,57/76,ARCHITECTURE(ESCI);URBAN STUDIES(ESCI),否,是,2025 CAS/JCR user table
ACERVO,0.1,JCR Q3,Q3,待核实,363/538,"HISTORY(ESCI);HUMANITIES, MULTIDISCIPLINARY(ESCI);INFORMATION SCIENCE & LIBRARY SCIENCE(ESCI)",,,2025 CAS/JCR user table
ACG Case Reports Journal,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,139/147,GASTROENTEROLOGY & HEPATOLOGY(ESCI),否,是,2025 CAS/JCR user table
ACI MATERIALS JOURNAL,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,54/95,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
ACI STRUCTURAL JOURNAL,1.5,JCR Q3 / CAS 4区,Q3,CAS 4区,60/95,"CONSTRUCTION & BUILDING TECHNOLOGY(SCIE);ENGINEERING, CIVIL(SCIE);MATERIALS SCIENCE, MULTIDISCIPLINARY(SCIE)",否,否,2025 CAS/JCR user table
ACM Communications in Computer Algebra,0.5,JCR Q4 / CAS 4区,Q4,CAS 4区,294/343,"MATHEMATICS, APPLIED(ESCI)",否,否,2025 CAS/JCR user table
ACM COMPUTING SURVEYS,28.0,JCR Q1 / CAS 1区,Q1,CAS 1区,1/147,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",是,否,2025 CAS/JCR user table
ACM Journal of Data and Information Quality,2.9,JCR Q2 / CAS 4区,Q2,CAS 4区,121/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",否,否,2025 CAS/JCR user table
ACM Journal on Computing and Cultural Heritage,2.2,JCR Q3 / CAS 3区,Q3,CAS 3区,111/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);HUMANITIES, MULTIDISCIPLINARY(AHCI)",否,否,2025 CAS/JCR user table
ACM Journal on Emerging Technologies in Computing Systems,2.6,JCR Q2 / CAS 4区,Q2,CAS 4区,172/366,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);ENGINEERING, ELECTRICAL & ELECTRONIC(SCIE);NANOSCIENCE & NANOTECHNOLOGY(SCIE)",否,否,2025 CAS/JCR user table
ACM SIGCOMM Computer Communication Review,2.8,JCR Q2 / CAS 4区,Q2,CAS 4区,128/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",否,否,2025 CAS/JCR user table
ACM SIGecom Exchanges,0.4,JCR Q4 / CAS 4区,Q4,CAS 4区,171/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",否,否,2025 CAS/JCR user table
ACM Transactions on Accessible Computing,3.5,JCR Q2 / CAS 2区,Q2,CAS 2区,71/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",否,否,2025 CAS/JCR user table
ACM Transactions on Algorithms,1.4,JCR Q2 / CAS 3区,Q2,CAS 3区,118/343,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Applied Perception,2.1,JCR Q3 / CAS 3区,Q3,CAS 3区,70/128,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Architecture and Code Optimization,1.8,JCR Q2 / CAS 3区,Q2,CAS 3区,71/147,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Asian and Low-Resource Language Information Processing,2.0,JCR Q3 / CAS 4区,Q3,CAS 4区,136/204,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Autonomous and Adaptive Systems,2.1,JCR Q2 / CAS 4区,Q2,CAS 4区,63/147,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Computation Theory,0.8,JCR Q4 / CAS 4区,Q4,CAS 4区,111/147,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",否,否,2025 CAS/JCR user table
ACM Transactions on Computational Logic,0.9,JCR Q1 / CAS 4区,Q1,CAS 4区,5/27,"COMPUTER SCIENCE, THEORY & METHODS(SCIE);LOGIC(SCIE)",否,否,2025 CAS/JCR user table
ACM TRANSACTIONS ON COMPUTER SYSTEMS,1.8,JCR Q2 / CAS 4区,Q2,CAS 4区,71/147,"COMPUTER SCIENCE, THEORY & METHODS(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Computer-Human Interaction,6.6,JCR Q1 / CAS 1区,Q1,CAS 1区,25/258,"COMPUTER SCIENCE, CYBERNETICS(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",是,否,2025 CAS/JCR user table
ACM Transactions on Computing Education,3.8,JCR Q1 / CAS 3区,Q1,CAS 3区,12/86,"EDUCATION, SCIENTIFIC DISCIPLINES(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Computing for Healthcare,8.0,JCR Q1,Q1,待核实,3/48,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI);MEDICAL INFORMATICS(ESCI)",,,2025 CAS/JCR user table
ACM Transactions on Cyber-Physical Systems,2.9,JCR Q3 / CAS 4区,Q3,CAS 4区,90/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",否,否,2025 CAS/JCR user table
ACM TRANSACTIONS ON DATABASE SYSTEMS,1.7,JCR Q3 / CAS 2区,Q3,CAS 2区,78/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,2.0,JCR Q3 / CAS 4区,Q3,CAS 4区,71/128,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Economics and Computation,0.9,JCR Q4 / CAS 4区,Q4,CAS 4区,157/175,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(ESCI)",否,否,2025 CAS/JCR user table
ACM Transactions on Embedded Computing Systems,2.6,JCR Q2 / CAS 3区,Q2,CAS 3区,57/128,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACM TRANSACTIONS ON GRAPHICS,9.5,JCR Q1 / CAS 1区,Q1,CAS 1区,5/128,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",是,否,2025 CAS/JCR user table
ACM Transactions on Human-Robot Interaction,5.5,JCR Q1 / CAS 2区,Q1,CAS 2区,10/48,ROBOTICS(ESCI),否,否,2025 CAS/JCR user table
ACM TRANSACTIONS ON INFORMATION SYSTEMS,9.1,JCR Q1 / CAS 2区,Q1,CAS 2区,10/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Intelligent Systems and Technology,6.6,JCR Q1 / CAS 3区,Q1,CAS 3区,25/258,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE);COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Interactive Intelligent Systems,4.8,JCR Q2 / CAS 4区,Q2,CAS 4区,57/204,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Internet of Things,3.7,JCR Q2 / CAS 3区,Q2,CAS 3区,124/366,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI);ENGINEERING, ELECTRICAL & ELECTRONIC(ESCI);TELECOMMUNICATIONS(ESCI)",否,否,2025 CAS/JCR user table
ACM Transactions on Internet Technology,4.1,JCR Q1 / CAS 3区,Q1,CAS 3区,23/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Knowledge Discovery from Data,4.8,JCR Q1 / CAS 3区,Q1,CAS 3区,16/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Management Information Systems,3.6,JCR Q2 / CAS 4区,Q2,CAS 4区,93/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",否,否,2025 CAS/JCR user table
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,3.2,JCR Q1 / CAS 2区,Q1,CAS 2区,13/343,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Modeling and Computer Simulation,1.9,JCR Q1 / CAS 4区,Q1,CAS 4区,70/343,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS(SCIE);MATHEMATICS, APPLIED(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,181/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(ESCI)",否,否,2025 CAS/JCR user table
ACM Transactions on Multimedia Computing Communications and Applications,6.0,JCR Q1 / CAS 3区,Q1,CAS 3区,10/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE);COMPUTER SCIENCE, THEORY & METHODS(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Parallel Computing,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,86/147,"COMPUTER SCIENCE, THEORY & METHODS(ESCI)",否,否,2025 CAS/JCR user table
ACM Transactions on Privacy and Security,2.8,JCR Q2 / CAS 3区,Q2,CAS 3区,128/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE)",否,否,2025 CAS/JCR user table
ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,1.6,JCR Q3 / CAS 2区,Q3,CAS 2区,82/128,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Quantum Computing,6.8,JCR Q1 / CAS 3区,Q1,CAS 3区,13/147,"COMPUTER SCIENCE, THEORY & METHODS(ESCI);QUANTUM SCIENCE & TECHNOLOGY(ESCI)",否,否,2025 CAS/JCR user table
ACM Transactions on Reconfigurable Technology and Systems,2.8,JCR Q2 / CAS 3区,Q2,CAS 3区,25/60,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on Sensor Networks,4.7,JCR Q1 / CAS 4区,Q1,CAS 4区,56/258,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);TELECOMMUNICATIONS(SCIE)",否,否,2025 CAS/JCR user table
ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,6.2,JCR Q1 / CAS 1区,Q1,CAS 1区,9/128,"COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",是,否,2025 CAS/JCR user table
ACM Transactions on Spatial Algorithms and Systems,1.6,JCR Q3 / CAS 4区,Q3,CAS 4区,44/65,REMOTE SENSING(ESCI),否,否,2025 CAS/JCR user table
ACM Transactions on Storage,2.6,JCR Q2 / CAS 3区,Q2,CAS 3区,57/128,"COMPUTER SCIENCE, HARDWARE & ARCHITECTURE(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACM Transactions on the Web,4.1,JCR Q1 / CAS 4区,Q1,CAS 4区,23/128,"COMPUTER SCIENCE, INFORMATION SYSTEMS(SCIE);COMPUTER SCIENCE, SOFTWARE ENGINEERING(SCIE)",否,否,2025 CAS/JCR user table
ACME-Annali della Facolta di Studi Umanistici dell Universita degli Studi di Milano,0.1,JCR N/A / CAS 4区,N/A,CAS 4区,N/A,"HUMANITIES, MULTIDISCIPLINARY(ESCI)",否,是,2025 CAS/JCR user table
ACOUSTICAL PHYSICS,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,30/41,ACOUSTICS(SCIE),否,否,2025 CAS/JCR user table
Acoustical Science and Technology,0.6,JCR Q4 / CAS 4区,Q4,CAS 4区,38/41,ACOUSTICS(ESCI),否,否,2025 CAS/JCR user table
Acoustics,1.2,JCR Q3 / CAS 4区,Q3,CAS 4区,30/41,ACOUSTICS(ESCI),否,是,2025 CAS/JCR user table
Acoustics Australia,1.8,JCR Q3 / CAS 4区,Q3,CAS 4区,23/41,ACOUSTICS(SCIE),否,否,2025 CAS/JCR user table
